Hello world!
2 0.148926
5 0.000000
1 0.000977
4 10.225830
6 2.066162
4 10.260010
4 10.238037
1 0.001953
1 0.000000
1 0.000977
6 1.220947
6 1.236084
1 0.001953
4 10.245117
3 1.467041
5 0.000977
1 0.000977
3 1.362061
3 1.348145
5 0.000977
4 10.197998
5 0.001221
5 0.000977
5 0.000000
2 0.141113
3 1.415039
3 1.395020
5 0.000977
2 0.124023
6 2.578857
5 0.001953
3 1.476807
2 0.126953
5 0.000000
3 1.374023
2 0.121094
2 0.162109
4 10.180908
1 0.000977
3 1.270020
1 0.000000
6 2.640869
3 1.380127
2 0.131104
6 1.918945
2 0.142090
1 0.001221
4 10.184082
1 0.000977
2 0.139160
1 0.000977
4 10.184082
6 2.019043
1 0.001221
2 0.093018
3 0.949951
2 0.076172
6 2.045898
4 10.101074
5 0.000977
4 10.228027
1 0.000977
6 1.240967
2 0.130859
7 16.474854
4 10.233154
6 1.917969
2 0.143066
6 1.955078
6 1.238037
3 1.451172
6 1.352051
4 10.205078
1 0.000977
3 1.375000
6 1.406006
5 0.000977
5 0.000977
5 0.000000
5 0.062012
2 0.142090
6 1.913086
3 1.434082
2 0.130859
1 0.001953
4 10.222900
2 0.142822
4 10.229004
4 10.208984
4 10.233154
1 0.001953
5 0.001221
3 1.423828
5 0.000000
1 0.000977
1 0.000000
6 2.438965
4 10.220947
6 1.196045
3 1.383057
4 10.257080
7 16.607910
2 0.141113
2 0.121094
1 0.001953
4 10.226807
3 1.474854
4 10.232910
3 1.420166
5 0.000977
6 2.648926
6 1.099121
2 0.164062
3 1.410156
5 0.000000
5 0.000977
1 0.000977
5 0.000000
2 0.181152
1 0.000977
5 0.000000
5 0.000000
3 1.393066
3 16.107910
2 0.134033
6 3.059814
4 10.257080
5 0.000977
1 0.001221
5 0.000000
3 1.461914
5 0.000977
1 0.000000
1 0.000000
6 1.465820
4 10.110107
1 0.001953
3 1.419922
4 10.266113
3 1.398926
4 10.119873
4 10.116943
5 0.000977
5 0.000000
6 1.410889
1 0.002197
6 1.086914
1 0.000977
2 0.243896
2 0.123047
5 0.000000
3 1.697998
6 2.924072
5 0.000977
3 1.648926
5 0.001221
1 0.000977
7 4.633057
1 0.000977
3 1.459229
6 1.371094
6 1.083984
5 0.000977
6 1.113037
3 1.448975
4 10.281982
6 1.291016
4 10.127930
4 10.111084
6 1.102051
5 0.000977
4 10.129150
3 1.536865
1 0.002930
4 10.115967
2 0.159912
1 0.001953
5 0.001221
6 2.260010
5 0.000977
6 1.080078
2 0.172852
1 0.000977
5 0.001221
4 10.123047
2 0.141846
3 1.452881
4 10.134033
4 10.173096
6 2.766846
2 0.247070
6 1.989990
6 1.068115
4 10.110107
2 0.171143
5 0.000000
3 1.539795
6 2.124023
5 0.001953
6 1.077881
5 0.000000
2 0.219971
2 0.120850
2 0.137207
1 0.003906
2 0.118896
1 0.000977
7 15.693848
4 10.134033
4 10.143066
5 0.000977
3 1.458984
6 3.475830
1 0.001953
6 1.182861
5 0.000977
4 10.238037
2 0.144043
1 0.000977
4 10.230957
6 1.984863
4 10.228027
3 1.475098
1 0.002197
5 0.000000
2 0.132080
2 0.120117
4 10.194092
6 2.614014
2 0.142090
1 0.000977
6 1.706787
2 0.142090
2 0.121094
2 0.119141
5 0.000977
2 0.120117
2 0.138916
6 2.747070
5 0.000977
6 1.288818
5 0.000000
1 0.000977
1 0.000000
6 1.450195
4 10.097168
3 12.575195
6 1.279053
2 0.072021
6 1.634033
4 10.216064
4 10.199951
2 0.142090
6 1.950928
6 1.106934
4 10.183105
7 8.010010
5 0.000000
2 0.141113
6 2.099121
3 1.725830
4 10.095947
3 1.518066
5 0.000977
1 0.003174
1 0.000977
1 0.000977
1 0.000000
2 0.133057
5 0.000000
1 0.000977
1 0.000000
2 0.176025
4 10.130859
4 10.116211
4 10.117920
4 10.149170
5 0.000000
3 1.560059
6 2.857178
2 0.204834
6 2.129883
6 1.068115
1 0.000977
3 1.468018
4 10.105957
6 1.306152
2 0.141113
2 0.121094
6 2.831055
2 0.137939
1 0.001953
3 1.801025
6 2.508057
4 10.131104
5 0.000977
4 10.114990
2 0.140869
5 0.000977
4 10.271973
2 0.162109
3 1.419189
4 10.234131
6 2.755859
2 0.188965
3 1.500000
3 1.428955
3 1.413818
1 0.002930
5 0.001953
7 163.803955
5 0.000977
4 10.116943
2 0.142090
3 2.091797
2 0.184082
4 10.308105
1 0.010986
2 0.137939
4 10.233887
3 1.515137
1 0.000977
1 0.000977
5 0.000000
6 4.010010
1 0.001953
2 0.140137
4 10.225098
5 0.000977
3 1.450928
2 0.130127
4 10.231934
3 1.435791
4 10.222900
5 0.000977
5 0.000000
3 1.391113
3 1.394043
3 1.336182
1 0.001953
5 0.000000
1 0.000000
5 0.000000
2 0.130859
2 0.120850
5 0.000000
3 1.402832
4 10.195068
1 0.000977
6 3.126953
1 0.001953
6 1.137939
6 1.176025
4 10.224121
3 1.384033
5 0.000977
4 10.229004
4 10.194092
5 0.000977
2 0.141113
4 10.185059
2 0.116943
5 0.000977
2 0.096924
3 1.135010
1 0.000977
1 0.000000
2 0.101074
5 0.000000
3 1.196777
3 1.075928
5 0.001221
1 0.000977
7 0.058105
1 0.000000
5 0.000000
5 0.000977
4 10.227051
1 0.000977
2 0.108154
4 10.254883
3 1.158936
1 0.000977
6 2.874023
2 0.130859
6 1.466064
3 1.259033
6 1.182861
6 1.176025
3 1.436035
1 0.000977
6 1.358887
5 0.000977
1 0.000977
1 0.000000
4 10.181152
6 1.218018
3 1.378906
1 0.001953
4 10.199951
4 10.197021
4 10.238037
5 0.000977
6 1.375977
1 0.000977
5 0.001221
3 1.526855
4 10.216064
6 1.375000
3 1.458984
1 0.001953
3 1.331055
4 10.190918
4 10.232178
3 1.436035
4 10.196045
3 1.420166
3 1.351074
7 1001.243896
5 0.000977
3 982.232910
3 1.358887
7 0.098145
3 1.368896
2 0.132080
5 0.000000
3 1.378906
5 0.000000
1 0.029053
4 10.196045
3 1.380859
3 1.353027
4 10.220947
1 0.000977
1 0.000977
5 0.000000
5 0.000000
3 1.387207
2 0.129883
3 1.455811
1 0.000000
2 0.126953
4 10.198975
6 3.500000
2 0.143066
4 10.182129
5 0.000977
3 1.441162
3 1.346924
6 2.114990
3 1.391846
1 0.001953
1 0.000977
6 1.268799
3 1.413086
5 0.000000
Goodbye!
