Hello world!
3 1.385010
1 0.000977
3 1.381104
2 0.133057
5 0.000000
5 0.000000
3 1.374023
1 0.000977
2 0.121826
4 10.094971
3 1.419922
1 0.000977
5 0.000977
3 1.322998
1 0.000000
2 0.150146
3 1.388916
2 0.122070
5 0.000000
4 10.083008
3 1.384033
3 1.338135
4 10.202881
4 10.246826
6 3.375000
3 2.027832
3 1.491943
5 0.000000
5 0.000000
1 0.000977
5 0.000977
1 0.000000
5 0.000000
6 1.348145
3 1.504883
4 10.220947
3 1.375977
3 1.408936
3 1.331787
5 0.000977
6 1.561035
4 10.224854
2 0.140869
5 0.000977
2 0.121094
4 10.193115
6 2.550049
6 1.090088
6 1.176025
2 0.140869
6 1.916016
7 18.291016
1 0.004883
1 0.000977
1 0.000977
3 1.406006
1 0.000977
5 0.000000
6 1.448975
1 0.001953
6 1.108887
4 10.108154
4 10.098877
3 1.575195
5 0.000000
1 0.001953
5 0.000000
6 1.258057
6 1.091064
3 1.583984
4 10.160156
4 10.099854
5 0.000977
4 10.227051
6 1.433105
2 0.139893
2 0.120850
2 0.117920
3 1.473145
1 0.000977
1 0.000977
1 0.000000
6 2.942139
4 10.185059
6 1.095947
3 1.369873
2 0.128906
2 0.119141
4 10.208984
3 1.406982
6 2.572998
5 0.019043
4 10.187988
3 1.438965
4 10.118896
1 0.005127
3 1.398193
4 10.212158
7 229.263184
5 0.000977
1 0.007080
5 0.000977
1 0.000000
1 0.000000
4 10.152100
1 0.001953
1 0.000000
5 0.000000
3 2.042969
3 1.429932
3 1.379883
6 1.809814
6 1.069092
6 1.088135
2 0.145020
5 0.000977
3 1.647217
6 1.978027
1 0.000977
6 1.074951
6 1.168945
2 0.114990
5 0.000000
5 0.000000
6 1.969971
1 0.001953
1 0.000977
2 0.114990
2 0.291992
5 0.000977
6 2.747070
6 1.076904
1 0.000977
5 0.000977
4 10.108887
6 1.131104
3 1.464111
2 0.207031
5 0.000977
2 0.135010
1 0.001953
5 0.000000
6 2.752930
3 1.687012
5 0.000000
6 1.343994
2 0.131104
2 0.122803
1 0.000977
5 0.000000
4 10.110107
2 0.227051
5 0.000977
1 0.000977
2 0.120117
3 1.431885
1 0.000977
4 10.110107
3 2.050049
6 3.574951
3 1.680908
6 1.254883
3 1.422119
5 0.000000
1 0.001221
3 1.377930
3 1.412842
3 1.403076
5 0.000000
6 1.687012
4 10.138916
1 0.002197
2 0.138916
5 0.000977
6 2.050049
7 0.130859
1 0.000977
6 1.076904
5 0.000000
6 1.083008
5 0.000000
2 0.161133
3 1.511963
6 2.098877
1 0.002197
3 1.605957
2 0.186035
2 0.122070
3 1.418945
5 0.000977
2 0.187012
1 0.000000
6 2.939941
2 0.222168
3 1.604980
3 1.525879
5 0.000000
2 0.126953
2 0.119873
3 1.408936
2 0.170898
5 0.000000
3 1.385986
3 1.030029
1 0.000977
5 0.000000
1 0.000977
1 0.000000
1 0.000000
3 0.923096
1 0.000000
6 2.553955
5 0.000000
3 1.209961
1 0.000977
3 0.971191
1 0.000000
2 0.084961
2 0.080078
5 0.000000
4 10.085205
4 10.263916
6 2.784912
5 0.000977
4 10.114014
2 0.160889
2 0.119873
1 0.000977
2 0.189941
3 1.465088
1 0.000977
1 0.000000
6 2.994141
6 1.118164
2 0.142090
4 10.162842
3 1.447998
3 1.447998
2 0.133789
2 0.119873
4 10.270996
2 0.159912
4 10.148926
4 10.119141
3 1.467041
4 10.132080
3 1.414062
4 10.235107
1 0.007080
2 0.200195
4 10.119141
7 1001.145020
2 0.143066
4 10.117920
5 0.000977
2 0.165039
2 0.121094
6 3.869141
2 0.166992
4 10.104980
3 981.997070
3 1.479004
6 1.645020
6 1.184814
2 0.142090
3 1.655029
3 1.572998
7 0.125977
1 0.029053
4 10.132080
1 0.001953
4 10.116943
1 0.000977
1 0.000977
6 3.625977
3 1.762939
3 1.567871
1 0.000977
3 1.622070
6 1.376953
3 1.381836
5 0.000000
1 0.000977
5 0.000000
5 0.000000
5 0.000977
5 0.000000
3 1.223145
5 0.000000
3 0.999023
4 10.127197
5 0.000000
2 0.178955
5 0.000000
4 10.104004
4 10.083008
3 0.925049
5 0.000000
4 10.104004
4 10.290771
1 0.004150
2 0.089844
5 0.000000
3 0.901855
1 0.000977
2 0.128906
6 2.707031
3 1.523193
5 0.000000
1 0.000977
1 0.001221
3 1.117920
4 10.098145
5 0.000977
6 1.335938
6 1.076904
5 0.000977
6 1.093994
1 0.000977
4 10.249023
7 0.087891
4 10.096924
3 0.884033
4 10.115967
6 1.269043
3 0.888916
2 0.145020
1 0.000977
1 0.000977
3 0.938965
5 0.000000
3 0.903076
6 2.000977
5 0.000000
4 10.105957
5 0.000977
5 0.000000
2 0.145020
6 1.884033
4 10.155029
2 0.143066
3 1.627930
3 1.745117
3 1.552979
3 1.531982
6 2.533936
5 0.000977
1 0.002930
4 10.098145
1 0.000977
6 1.089111
4 10.172119
3 1.604004
5 0.000977
3 1.570068
1 0.000977
2 0.225098
4 10.145020
4 10.312988
4 10.197998
2 0.142090
6 2.833008
5 0.001221
2 0.311035
1 0.001953
1 0.000977
2 0.125977
3 1.422852
4 10.109863
4 10.176025
2 0.140869
5 0.000000
7 0.137939
3 1.416992
5 0.000977
2 0.185059
5 0.000000
2 0.138184
3 1.403076
2 0.183105
3 1.417969
6 5.534912
6 1.416016
2 0.169922
3 0.954834
6 1.942871
1 0.000977
2 0.166016
3 1.116211
6 1.798096
6 1.088135
6 1.064941
4 10.107178
4 10.227051
5 0.000977
5 0.000000
4 10.206055
6 1.123047
5 0.000977
3 2.021973
1 0.000977
1 0.000977
4 10.104980
4 10.104980
1 0.000977
6 1.317139
6 1.073975
6 1.118896
3 0.591797
3 0.577881
6 1.322021
4 10.267822
3 0.606201
3 0.608887
4 10.096924
1 0.000977
4 10.076904
1 0.000977
3 0.603027
3 0.576172
4 10.241943
6 1.407959
5 0.000977
7 0.068848
6 1.072998
5 0.000000
4 10.226074
5 0.000977
3 0.654053
4 10.235107
3 0.681885
5 0.000000
6 1.386963
3 0.661865
Goodbye!
