Hello world!
3 1.385010
6 1.265869
5 0.000000
2 0.141113
5 0.000000
2 0.122070
3 1.419189
1 0.000977
6 2.468994
3 1.375000
3 1.330811
4 10.192871
6 1.489014
1 0.001953
6 1.099854
1 0.001953
1 0.000000
5 0.000977
4 10.184082
1 0.001953
1 0.000977
6 1.221924
5 0.000977
6 1.276855
3 1.374023
4 10.235840
3 1.422119
4 10.211182
4 10.235840
4 10.280762
3 1.385010
1 0.000977
5 0.000977
1 0.000000
1 0.000977
5 0.000000
6 1.537842
6 1.114990
3 1.368896
5 0.000000
6 1.401123
1 0.000977
5 0.000000
5 0.000977
5 0.000000
4 10.221924
1 0.000977
2 0.139893
5 0.000977
4 10.194092
6 2.011963
7 11.854004
1 0.001953
3 1.412842
6 1.275879
3 1.401123
2 0.130127
1 0.001953
2 0.122070
1 0.000977
2 0.140869
3 1.363770
4 10.230957
6 2.668945
6 1.090088
3 1.372070
4 10.221924
4 10.223145
4 10.235107
6 1.406982
2 0.140869
3 1.535889
2 0.124023
4 10.220947
3 1.475098
5 0.000000
3 1.332031
4 10.280029
2 0.143066
2 0.122070
6 3.022949
2 0.187012
3 1.717041
3 1.729004
1 0.001953
2 0.142090
2 0.122803
5 0.000000
2 0.119873
4 10.239990
1 0.001953
4 10.231201
1 0.000977
7 191.323975
1 0.009033
2 0.158936
4 10.228027
1 0.002197
2 0.158936
2 0.142822
6 3.544922
4 10.123047
6 1.071045
2 0.209961
1 0.000977
5 0.000000
4 10.109863
4 10.120117
6 2.137939
3 2.321045
5 0.000977
1 0.001221
2 0.152832
3 1.410889
4 10.116943
6 2.143066
3 1.726074
6 1.322021
2 0.139893
3 1.549805
2 0.189941
5 0.000000
5 0.000977
4 10.223145
1 0.001953
2 0.138916
2 0.119141
1 0.000977
2 0.137939
6 3.479980
1 0.001221
5 0.000977
4 10.112061
4 10.119141
2 0.158936
6 2.072021
7 0.165039
4 10.313965
6 1.104980
5 0.000977
3 1.472900
4 10.115967
4 10.117188
1 0.004883
6 1.409912
5 0.000977
6 1.099854
6 1.074951
4 10.106934
6 1.192139
6 1.104980
6 1.106934
3 1.469971
2 0.129150
2 0.120850
4 10.117920
3 1.502930
5 0.000000
2 0.210938
1 0.000977
3 1.454102
1 0.000977
4 10.115967
6 2.938965
5 0.000977
6 1.071045
4 10.105957
6 1.104004
1 0.000977
1 0.000977
2 0.156982
4 10.119873
1 0.001953
4 10.143066
2 0.139893
6 2.692871
5 0.000000
7 1001.177002
5 0.000977
3 1003.066895
4 10.213867
5 0.000977
3 1.479980
3 1.388916
2 0.131836
1 0.031982
3 1.415039
4 10.117188
3 1.447998
2 0.133057
2 0.141846
5 0.000000
5 0.000000
3 1.506104
6 4.175049
2 0.168945
5 0.000977
2 0.164062
5 0.000000
6 1.560791
3 1.761230
4 10.092041
4 10.114990
6 1.312988
6 1.097900
2 0.158936
1 0.000977
2 0.123779
7 0.138916
6 2.766846
2 0.135986
1 0.000977
2 0.123047
5 0.000000
1 0.000977
5 0.000000
2 0.120117
1 0.000977
4 10.262939
3 1.455078
1 0.001953
1 0.000977
2 0.204102
6 3.171875
3 1.682129
5 0.000977
3 1.710938
2 0.130127
1 0.000977
1 0.000000
5 0.000977
5 0.000000
3 1.413086
1 0.000000
3 1.479004
4 10.112061
3 1.496094
2 0.131836
1 0.000977
6 2.743896
2 0.194824
6 2.145996
5 0.000000
5 0.000000
2 0.127930
4 10.111084
2 0.142090
4 10.222168
5 0.000000
6 2.627930
4 10.221924
2 0.142090
1 0.002197
1 0.000000
4 10.128906
4 10.145996
2 0.143066
3 1.502930
4 10.155029
1 0.001953
2 0.142822
4 10.118896
6 3.265137
6 1.120850
2 0.161133
7 0.333008
3 1.495117
3 1.464111
4 10.110107
3 1.515869
2 0.132080
3 1.397949
3 1.503906
5 0.000000
6 2.900879
5 0.000977
4 10.125000
2 0.143066
6 1.983887
3 1.822021
4 10.111084
6 1.409180
4 10.100830
5 0.000977
2 0.104980
6 1.771973
3 1.001221
2 0.157959
1 0.002197
3 0.862061
5 0.000000
3 0.892090
1 0.000000
5 0.000977
6 2.064209
4 10.156006
4 10.121094
6 1.096191
1 0.000977
1 0.000977
1 0.000000
3 0.937988
5 0.000977
1 0.000977
1 0.000000
5 0.000977
3 0.842041
6 1.447998
5 0.000977
3 1.044922
5 0.000000
6 1.294922
3 1.451172
5 0.000977
3 1.398926
6 1.456787
4 10.217041
7 0.163086
3 1.479980
6 1.405029
5 0.000977
2 0.182861
5 0.000000
2 0.119873
5 0.000977
6 2.960938
6 1.073975
6 1.082031
5 0.001221
1 0.000977
1 0.000000
5 0.000000
6 1.104980
3 1.446045
6 1.312012
3 1.459961
2 0.132080
4 10.219971
5 0.000000
2 0.142090
4 10.112061
4 10.201172
3 2.083984
5 0.001221
1 0.000977
2 0.168945
3 1.457031
3 1.468018
5 0.000977
5 0.000000
4 10.133057
4 10.096924
3 1.614014
3 1.613037
3 1.564941
6 3.197021
6 1.261963
3 1.452148
1 0.000977
4 10.187988
1 0.001953
3 1.362061
2 0.129883
4 10.197021
2 0.155029
3 1.462891
2 0.124023
3 1.363037
4 10.252197
4 10.194824
7 0.095947
5 0.001221
1 0.000977
3 1.369141
4 10.205078
3 1.392822
5 0.000000
3 1.395996
1 0.001221
6 2.876953
4 10.129150
6 1.093018
3 1.605957
3 1.442871
5 0.001221
5 0.000000
6 1.497070
5 0.000977
2 0.141113
2 0.172119
1 0.000977
6 2.497070
5 0.000977
6 1.091064
4 10.099121
2 0.155029
6 2.114990
5 0.000977
4 10.098877
3 1.708984
4 10.100098
2 0.140869
3 1.503906
3 1.389893
5 0.000977
6 1.975098
1 0.000977
6 1.084961
4 10.222900
2 0.143799
4 10.198975
1 0.001953
2 0.141846
4 10.233887
6 2.531006
1 0.001953
4 10.285889
1 0.002197
5 0.000000
3 1.443115
2 0.132080
3 1.353027
2 0.123047
5 0.000977
7 0.073975
1 0.001221
1 0.000977
1 0.000000
1 0.000977
2 0.123047
6 3.076904
3 1.697998
1 0.000977
Goodbye!
